frame	time	centroid_l	centroid_r	spread_l	spread_r	flux_l	flux_r	flatness_l	flatness_r	rolloff_l	rolloff_r	rms_l	rms_r	peak_l	peak_r
0	0	2296.88	3898.51	3547.51	4871.02	0.000902342	0.000972357	0.215147	0.353506	3316.11	10249.8	-41.239987	-43.048330	-15.207348	-29.845651
1	0.0416327	7377.12	4469.31	5207	5124.19	0.00601638	0.00562496	0.474945	0.312494	13199.9	11025	-36.847788	-37.985342	-14.189012	-27.250549
2	0.0832653	7018.45	5084.67	5201.94	5359.06	0.00453743	0.00236852	0.473225	0.390006	13286	11714.1	-34.503289	-39.075920	-15.795386	-30.409126
3	0.124898	6640.38	5084.8	5285.53	5157.21	0.00265497	0.00290302	0.511238	0.332138	13350.6	11649.5	-34.374029	-41.761158	-18.236386	-31.831191
4	0.166531	8009.73	4561.36	4963.11	5171.53	0.00575903	0.00468415	0.499167	0.318473	13479.8	11068.1	-38.223694	-37.363459	-15.296521	-29.649446
5	0.208163	2299.68	4894.6	3767.84	5129.49	0.00485995	0.00412247	0.214666	0.345438	4026.71	11175.7	-36.477413	-41.956184	-28.167543	-32.798136
6	0.249796	2013.96	3933.4	3609.57	4949.87	0.00420461	0.00482931	0.186311	0.295068	3380.71	10206.7	-36.032308	-35.164984	-27.792293	-25.640565
7	0.291429	1958.01	4300.42	3475.98	5010.25	0.0036895	0.00524015	0.176565	0.333015	3251.51	10615.9	-35.095222	-38.030695	-26.727674	-29.473791
8	0.333061	2032.38	4295.99	3508.87	5120.86	0.00315594	0.00390283	0.179436	0.335561	3273.05	10938.9	-35.793129	-37.140300	-26.354483	-27.230262
9	0.374694	6091.19	4043.42	5310.68	4975.91	0.00399042	0.00234215	0.433587	0.301237	12747.7	10271.3	-35.857504	-36.276254	-16.635047	-27.642155
10	0.416327	4438.54	4589.09	5077.42	5130.85	0.00332123	0.00406792	0.390625	0.347162	10745.1	10723.5	-35.394002	-37.408509	-13.507140	-29.662521
11	0.457959	2070.24	4010.74	3581.13	5004.69	0.00249522	0.00408409	0.179783	0.326385	3445.31	10529.7	-35.539157	-37.412296	-27.847543	-26.857110
12	0.499592	2011.82	4485.34	3633.95	5127.11	0.00443555	0.00325512	0.18309	0.354245	3574.51	10917.3	-34.860934	-39.163954	-27.443555	-28.914929
13	0.541224	2459.54	4550.53	3883.06	5160.42	0.0062763	0.00274052	0.216679	0.359677	4414.31	11218.8	-39.859727	-38.200074	-30.619980	-29.841903
14	0.582857	3920.75	5005.65	4879.12	5224.86	0.00305559	0.0027035	0.341557	0.392312	10077.5	11520.3	-36.119209	-40.608737	-14.608646	-28.936151
15	0.62449	2714.42	4286.19	4155.02	5078.63	0.00196638	0.0035643	0.252944	0.337712	5835.5	10400.5	-36.566137	-36.980475	-16.910794	-28.055077
16	0.666122	2324.77	3803.89	3912.38	4978.36	0.00264731	0.00417604	0.212222	0.306796	4521.97	10249.8	-36.286470	-34.114507	-28.128754	-26.115716
17	0.707755	7020.37	4561.22	5231.96	5115.31	0.00497303	0.00606623	0.476036	0.328576	13221.4	10960.4	-34.985202	-37.409829	-17.761193	-27.762618
18	0.749388	6975.22	3800.67	5157.48	5008.94	0.00277605	0.00755785	0.428838	0.295818	13350.6	10012.9	-35.243344	-33.272765	-18.040074	-25.149551
19	0.79102	7574.36	4446.08	5100.56	5155.95	0.00310132	0.00596972	0.452501	0.3398	13307.5	11025	-37.090158	-36.264035	-15.567458	-26.748720
20	0.832653	2518.87	4168.18	4004.36	5078.53	0.00531092	0.00297603	0.220261	0.321401	5167.97	10486.7	-36.288069	-36.021096	-17.831319	-28.814488
21	0.874286	5284.02	4833	5261.44	5180.57	0.00376539	0.00343353	0.411708	0.363788	11455.7	11348	-33.759048	-39.232183	-13.846209	-30.538176
22	0.915918	6945.83	4559.52	5168.71	5114.81	0.00532313	0.00164064	0.413177	0.32803	13049.1	11089.6	-38.956627	-38.638269	-14.973347	-26.955254
23	0.957551	2571.02	4867.21	3975.5	5218.68	0.00322327	0.00180658	0.234104	0.378359	4909.57	11261.9	-39.182045	-39.596567	-31.035049	-30.833511
24	0.999184	2409.35	4575.63	3716.85	5169.09	0.00569488	0.00280707	0.203419	0.363403	4177.44	11197.3	-36.543896	-37.202359	-27.585321	-29.123403
25	1.040816	6490.82	4096.06	5220.66	5039.2	0.00783151	0.00337207	0.427777	0.312187	13092.2	10465.1	-34.412258	-36.606102	-15.264027	-28.136685
26	1.082449	2125.73	4549.87	3717.87	5116.27	0.00440017	0.00235184	0.19074	0.35434	3897.51	10960.4	-34.791639	-38.673348	-27.186410	-28.205528
27	1.124082	1970.08	5064.16	3519.05	5219.7	0.00317848	0.00333623	0.180484	0.388867	3445.31	11584.9	-34.275188	-40.858918	-27.221441	-32.241898
28	1.165714	2216.89	4172.89	3659.96	5076.1	0.00435545	0.00346921	0.194791	0.3399	3919.04	10594.3	-36.138782	-37.772931	-25.783300	-29.153389
29	1.207347	1993.26	4464.49	3502.6	5053.99	0.00326355	0.00264041	0.178286	0.364896	3316.11	10788.1	-33.726850	-39.217944	-25.726425	-29.584552
30	1.24898	5764.62	4459.23	5312.66	5202.83	0.00602651	0.00340827	0.409028	0.335069	12489.3	11068.1	-33.407636	-36.661947	-16.034698	-28.200695
31	1.290612	3091.58	4544.39	4460.47	5162.45	0.00347866	0.00399589	0.277578	0.372081	7687.35	11068.1	-34.844728	-37.495185	-19.523599	-27.023653
32	1.332245	7200.31	4050.94	5167.22	4986.25	0.00543281	0.00461422	0.503119	0.289174	13479.8	10766.6	-35.566539	-35.312896	-14.863116	-25.591075
33	1.373878	6673.02	4484.83	5235.58	5162.6	0.00534084	0.00271468	0.45689	0.350889	13049.1	10938.9	-34.398434	-37.642520	-17.247263	-28.009154
34	1.41551	6146.58	4487.38	5221.06	5167.8	0.00394766	0.00272494	0.464356	0.362325	12855.3	11068.1	-36.602739	-38.666103	-17.063643	-29.525122
35	1.457143	5628.15	4649.45	5383.05	5211.44	0.00458232	0.00375058	0.383113	0.35276	12209.3	11391.1	-34.672479	-37.745363	-16.788665	-27.440372
36	1.498776	6614.3	4141.6	5381.72	4987.33	0.0030867	0.00287894	0.44377	0.286222	13027.6	10443.6	-32.821445	-35.313313	-15.441523	-27.975235
37	1.540408	1836.66	4688.61	3486.52	5199.84	0.00375105	0.00335395	0.169565	0.361771	3186.91	11348	-32.810252	-38.204821	-25.887142	-29.595354
38	1.582041	5764.91	4641.56	5310.85	5168.47	0.00381299	0.00184979	0.430653	0.345574	12489.3	10831.2	-31.337584	-37.998057	-16.036594	-28.994520
39	1.623673	2147.79	3980.08	3674.75	5101.11	0.00621351	0.00596396	0.195459	0.329783	3639.11	10379	-33.253143	-34.133867	-25.347715	-27.357866
40	1.665306	6420.45	4642.7	5307.23	5284.22	0.00604888	0.0048848	0.488025	0.394367	13113.7	11240.3	-34.329145	-35.947160	-16.651146	-27.674114
41	1.706939	4239.26	4293.24	5080.42	5133.87	0.00295945	0.00349204	0.365001	0.337293	9969.87	10723.5	-33.544585	-34.642816	-15.971158	-26.777187
42	1.748571	7287.35	4458.7	5037.11	5136.72	0.00749934	0.00252262	0.374429	0.30563	13522.9	11089.6	-35.220733	-35.581310	-14.267767	-27.705649
43	1.790204	6848.67	4765.38	5234.1	5213.56	0.00402324	0.00306884	0.49262	0.358785	13092.2	11283.4	-34.789059	-36.719854	-17.559900	-28.043283
44	1.831837	2143.01	4401.46	3616.4	5100.26	0.00435002	0.0024445	0.198382	0.359946	3725.24	11132.7	-35.756716	-37.579744	-26.648030	-28.452374
45	1.873469	1826.89	4118.34	3519.26	5046.7	0.00701409	0.00319988	0.170649	0.332487	3100.78	10637.4	-32.464354	-36.630763	-25.694828	-27.393130
46	1.915102	3999.69	5135.55	4884.93	5311.14	0.00705323	0.00264062	0.348123	0.386315	9496.14	11757.1	-35.591999	-38.401192	-18.167907	-29.339902
47	1.956735	6447.08	4078.51	5381.72	4935.87	0.00739556	0.00281288	0.454926	0.277867	12855.3	10120.6	-32.191085	-35.305694	-15.255699	-26.087567
48	1.998367	2037.46	4344.22	3477.97	5137.34	0.00776013	0.00234501	0.183672	0.314489	3488.38	10809.7	-35.899669	-36.338767	-28.648094	-25.797992
49	2.04	2022.29	3256.83	3502.54	4782.87	0.00244708	0.00636903	0.184815	0.250933	3466.85	9151.61	-34.545091	-31.652974	-26.731746	-25.267759
